,3T1g(F),3T2g(F)-Th,3A2g(F)-Th,3T1g(P)-Th,1T2g(D),1Eg(D),1T2g(G),1Eg(G),1T1g(G),1A1g(G),1A1g(S)
0,0,0,0,15,,,,,,,
0.2,0,0.1604232686,0.3604232686,15.12084654,,,,,,,
0.4,0,0.3216796049,0.7216796049,15.24335921,,,,,,,
0.6,0,0.4837490849,1.083749085,15.36749817,,,,,,,
0.8,0,0.6466121627,1.446612163,15.49322433,,,,,,,
1,0,0.8102496759,1.810249676,15.62049935,,,,,,,
1.2,0,0.974642849,2.174642849,15.7492857,,,,,,,
1.4,0,1.139773297,2.539773297,15.87954659,,,,,,,
1.6,0,1.305623024,2.905623024,16.01124605,,,,,,,
1.8,0,1.472174428,3.272174428,16.14434886,,,,,,,
2,0,1.639410298,3.639410298,16.2788206,,,,,,,
2.2,0,1.807313811,4.007313811,16.41462762,,,,,,,
2.4,0,1.975868534,4.375868534,16.55173707,,,,,,,
2.6,0,2.145058418,4.745058418,16.69011684,,,,,,,
2.8,0,2.314867795,5.114867795,16.82973559,,,,,,,
3,0,2.485281374,5.485281374,16.97056275,,,,,,,
3.2,0,2.65628424,5.85628424,17.11256848,,,,,,,
3.4,0,2.827861844,6.227861844,17.25572369,,,,,,,
3.6,0,3,6.6,17.4,,,,,,,
3.8,0,3.17268488,6.97268488,17.54536976,,,,,,,
4,0,3.345903006,7.345903006,17.69180601,,,,,,,
4.2,0,3.519641248,7.719641248,17.8392825,,,,,,,
4.4,0,3.693886813,8.093886813,17.98777363,,,,,,,
4.6,0,3.868627239,8.468627239,18.13725448,,,,,,,
4.8,0,4.043850392,8.843850392,18.28770078,,,,,,,
5,0,4.219544457,9.219544457,18.43908891,,,,,,,
5.2,0,4.39569793,9.59569793,18.59139586,,,,,,,
5.4,0,4.572299611,9.972299611,18.74459922,,,,,,,
5.6,0,4.749338601,10.3493386,18.8986772,,,,,,,
5.8,0,4.926804291,10.72680429,19.05360858,,,,,,,
6,0,5.104686356,11.10468636,19.20937271,,,,,,,
6.2,0,5.28297475,11.48297475,19.3659495,,,,,,,
6.4,0,5.461659695,11.86165969,19.52331939,,,,,,,
6.6,0,5.64073168,12.24073168,19.68146336,,,,,,,
6.8,0,5.82018145,12.62018145,19.8403629,,,,,,,
7,0,6,13,20,,,,,,,
7.2,0,6.18017857,13.38017857,20.16035714,,,,,,,
7.4,0,6.360708637,13.76070864,20.32141727,,,,,,,
7.6,0,6.541581909,14.14158191,20.48316382,,,,,,,
7.8,0,6.72279032,14.52279032,20.64558064,,,,,,,
8,0,6.904326023,14.90432602,20.80865205,,,,,,,
8.2,0,7.086181383,15.28618138,20.97236277,,,,,,,
8.4,0,7.268348972,15.66834897,21.13669794,,,,,,,
8.6,0,7.450821565,16.05082156,21.30164313,,,,,,,
8.8,0,7.633592129,16.43359213,21.46718426,,,,,,,
9,0,7.816653826,16.81665383,21.63330765,,,,,,,
