delta/B,5Eg(D),5T2g(D),3Eg (H),3T1g(H),3T1g(H),3T2g(H),3T1g(P),3A2g(F),3T2g(F),3T1g(F),3A1g(G),3Eg(G),3T1g(G),3T2g(G),1A1g(I),1A2g(I),1Eg(I),1T1g(I),1T2g(I),1T2g(I),3Eg(D),3T2g(D),1A1g(G),1Eg(G),1T2g(G),1T1g(G),1A1g(S),1Eg(D),1T2g(D),1A2g(F),1T1g(F),1T2g(F),3A2g(F),3T1g(F),3T2g(F),3T1g(P),1A1g(G),1Eg(G),1T1g(G),1T2g(G),1Eg(D),1T2g(D),1A1g(S)
0,0,0,22.4020101,22.4020101,22.4020101,22.4020101,25.554196,25.7456131,25.7456131,25.7456131,27.4020101,27.4020101,27.4020101,27.4020101,33.6030151,33.6030151,33.6030151,33.6030151,33.6030151,33.6030151,34.4020101,34.4020101,35.9841646,35.9841646,35.9841646,35.9841646,41.538843,43.1864183,43.1864183,48.6030151,48.6030151,48.6030151,56.8599146,56.8599146,56.8599146,57.0513317,65.0233731,65.0233731,65.0233731,65.0233731,85.8211193,85.8211193,112.471207
0.753768861,0,0.753768844,22.5393241,22.361446,23.1829108,23.0098555,25.7054008,25.8799698,26.1476018,26.6977312,27.4020101,27.7878995,27.7375302,28.3014472,34.3992902,33.7478882,33.4793907,34.3580503,33.5451595,34.2993957,34.6325754,35.0107412,37.1934611,36.564353,35.8933706,36.8770879,42.0844497,43.1388932,43.9718719,49.2119108,48.9859435,49.094995,57.4793266,57.0983932,57.3569874,57.6487475,65.0250678,65.4250427,65.2537927,65.9146093,86.5179497,86.1197927,112.933411
1.50753772,0,1.50753769,22.6532814,22.1616055,23.8105616,23.5191457,25.8217186,26.0091382,26.5875101,27.7764548,27.4020101,28.1645553,28.2667902,29.2310515,34.861941,33.8816922,33.2764146,34.8837437,33.3927123,34.8270314,34.8957312,35.6139899,38.4672236,37.1845905,36.0061043,37.9701181,42.855941,43.1002286,44.75075,49.8318756,49.3808103,49.6122475,58.1039271,57.2963417,57.8900113,58.3137613,65.0504008,65.8552462,65.5015088,66.8292714,87.2166847,86.4361533,113.415247
2.26130652,0,2.26130653,22.7484774,21.8450477,24.2353869,23.9263317,26.0933932,26.133358,27.0902563,28.5985377,27.4020101,28.524495,29.1898693,30.1713342,35.1377952,34.0054083,33.0204585,35.2706897,33.1442776,35.059152,35.1943643,36.2082889,39.612593,37.813397,36.4603216,39.1711583,43.8912751,43.0781219,45.5184523,50.4619284,49.7875967,50.149858,58.7334761,57.5044246,58.4605729,58.995652,65.1078053,66.3115013,65.7680415,67.7669309,87.9172249,86.7703543,113.916359
3.01507545,0,3.01507538,22.8286256,21.4422085,24.4557877,24.2410088,26.5592538,26.252853,27.6568178,29.208902,27.4020101,28.8618945,30.3940025,31.1133505,35.2946935,34.1199397,32.7237814,35.580843,32.8115892,35.1247651,35.5305842,36.790657,40.5806834,38.4310327,37.1231922,40.4162274,45.1611633,43.0824837,46.2711847,51.1011658,50.2066947,50.7041457,59.36775,57.7270955,59.0700251,59.6901382,65.2079422,66.7914673,66.0550302,68.7269611,88.6194761,87.1225842,114.436422
3.76884413,0,3.76884422,22.8966721,20.9757299,24.5503756,24.4813857,27.151951,26.3678405,28.2751658,29.8042312,27.4020101,29.1727688,31.6482111,32.0523467,35.3655327,34.2261106,32.3927889,35.8446784,32.4125138,35.1530251,35.9054334,37.3585942,41.4148982,39.0199987,37.854093,41.6720754,46.5761344,43.1266646,47.0057085,51.7487638,50.6391118,51.2725603,60.0065314,57.9660817,59.7194422,60.3958807,65.3642676,67.2929736,66.3642337,69.7085289,89.3233518,87.4930678,114.975148
4.52261305,0,4.52261307,22.9549296,20.4622161,24.5889259,24.6665,27.8031746,26.4785289,28.9302965,30.4024121,27.4020101,29.4549736,32.9159435,32.985549,35.3701859,34.3246721,32.0313681,36.0771043,31.9635038,35.1775578,36.3187399,37.9100955,42.1729975,39.560603,38.6081269,42.9199925,48.042,43.2285515,47.7191796,52.4039711,51.0867739,51.8535314,60.6496118,58.2226771,60.4095691,61.1121884,65.5935791,67.8140188,66.6975364,70.7105942,90.0287739,87.8820779,115.532293
5.27638197,0,5.27638191,23.0052161,19.9135138,24.6046307,24.8117927,28.4779925,26.5851156,29.6095691,31.0041394,27.4020101,29.7080427,34.1855867,33.9112688,35.3224158,34.4163053,31.6422601,36.2860817,31.4769598,35.2041294,36.7691545,38.443657,42.893397,40.0304183,39.3713618,44.146794,49.4864359,43.4097324,48.4090616,53.0661068,51.552902,52.4462877,61.296794,58.4981181,61.1407965,61.8386319,65.9162249,68.3527776,67.0569372,71.7318995,90.7356658,88.2899472,116.107656
6.03015089,0,6.03015075,23.0489585,19.3379724,24.6110075,24.9284146,29.1603178,26.6877902,30.3038266,31.6089523,27.4020101,29.9328643,35.4508216,34.8284736,35.2322563,34.5016281,31.2276495,36.4763178,30.9615955,35.2327312,37.2543568,38.958299,43.5963719,40.4095176,40.1385578,45.3406482,50.8560013,43.6896734,49.0731294,53.7345528,52.0425013,53.0506394,61.9478882,58.7936746,61.913147,62.5749422,66.3554887,68.9075892,67.4445528,72.7709862,91.4439623,88.7170854,116.701089
6.78391981,0,6.7839196,23.0872889,18.741495,24.6135804,25.0240741,29.8419322,26.7867299,31.0067676,32.2167663,27.4020101,30.1312927,36.7073317,35.7365465,35.1071495,34.5811947,30.7894384,36.6508781,30.4234812,35.2624485,37.7713681,39.4535704,44.2916206,40.6904296,40.9074221,46.4889837,52.1095716,44.0755088,49.7095239,54.408755,52.5628643,53.6667425,62.6027173,59.1106859,62.7262764,63.3209736,66.9354472,69.4769548,67.8626005,73.8261935,92.153598,89.1639874,117.312492
