delta/B,6A1g,4T1g(G),4T2g(G),4A1g/4Eg(G),4T1g(P),4T2g(D),4Eg(D),2T2g(I),2A2g(I),2T1g(I),2T2g(I),2Eg(I),2A1g(I),2T2g,2Eg,2T1g,4A2g(F),4T1g(F),4T2g(F),2A2g(H),2T2g(H),2T1g(H),2Eg(H),2T1g(H),2T2g(H),2A1g,2T2g,2Eg,2T1g,2T2g,2A2g,2T1g,2A1g(S),2Eg(D),2T2g(D),2Eg,2T1g,2T2g,2A1g,2T1g,2T2g,2Eg
0,0,32.3981374,32.3981374,32.3981374,38.3573923,39.3981374,39.3981374,46.8370198,46.8370198,46.8370198,46.8370198,46.8370198,46.8370198,53.3573923,53.3573923,53.3573923,53.3573923,54.7962747,53.3573923,54.7962747,54.7962747,57.7962747,57.7962747,57.7962747,57.7962747,57.7962747,57.7962747,57.8370198,57.8370198,61.8370198,61.8370198,61.8370198,67.8370198,75.7962747,75.7962747,82.7962747,82.7962747,82.7962747,82.7962747,99.7962747,109.101014,109.101014
0.698486626,0,32.3287544,32.3881467,32.3981374,38.4221141,39.3782363,39.3981361,46.7545471,46.7882423,46.7937508,46.8148041,46.8268814,46.8363152,53.1675914,53.4106979,53.3620529,53.3573914,54.7708244,53.3872829,54.8311729,54.9642105,57.6194179,57.5754929,57.8108952,57.8566589,57.8274193,57.9720154,58.0955086,58.0392678,61.8234253,61.8509026,61.8559875,67.8221512,75.8020477,75.8128357,82.789772,82.8025343,82.8104633,82.8214494,99.7997555,109.108434,109.114264
1.39697325,0,32.1290855,32.3580058,32.3981374,38.6077462,39.3193772,39.3981361,46.5057259,46.644886,46.6659203,46.7477074,46.7962227,46.8341904,52.6063306,53.2938626,53.3760908,53.3573914,54.6926117,53.4762841,54.9325943,55.1935463,57.4525902,57.3741722,57.8531781,57.9984808,57.7985728,58.4018917,58.4066925,58.2843353,61.7855263,61.8928337,61.9123001,67.7780151,75.8194122,75.8619766,82.7703552,82.8212922,82.853071,82.8965565,99.8102061,109.130731,109.153952
2.09545994,0,31.8200264,32.3072107,32.3981374,38.8932177,39.2240035,39.3981361,46.0888748,46.4150314,46.4590416,46.6345444,46.7443085,46.8306274,52.0181001,53.1096857,53.3996775,53.3573914,54.557888,53.6224529,55.0916328,55.3019638,57.3173481,57.2085953,57.9183935,58.2041385,57.7503388,59.068773,58.7454191,58.5554133,61.7342224,61.9636497,62.0042,67.7059937,75.8485107,75.9421463,82.7382584,82.8524913,82.9242084,83.0203772,99.8276577,109.168015,109.219889
2.7939465,0,31.4259911,32.2349406,32.3981374,39.2538265,39.0959441,39.3981361,45.508007,46.109787,46.1810646,46.473896,46.6699181,46.8255806,51.4871071,52.8712887,53.4331036,53.3573914,54.3648224,53.8227823,55.2958679,55.3056526,57.2138964,57.0736465,57.9991362,58.4515017,57.6824983,59.8621234,59.1045623,58.8564086,61.7012558,62.0646629,62.1289101,67.6082611,75.8895798,76.0509338,82.6939087,82.8960373,83.0240314,83.1909907,99.852156,109.220473,109.311767
3.49243307,0,30.9685802,32.1400873,32.3981374,39.6675658,38.9400931,39.3981374,44.7773933,45.7410965,45.8410873,46.2647972,46.5713654,46.8190041,51.0400233,52.5930105,53.4767765,53.3573914,54.1158295,54.0734866,55.5316577,55.2471013,57.1385937,56.9629021,58.0868766,58.7188743,57.5947614,60.6049092,59.4774214,59.1916391,61.8055382,62.1975594,62.2828445,67.4876556,75.9429245,76.1852875,82.6378708,82.9517928,83.1526973,83.4059173,99.8837707,109.288364,109.429166
4.19091988,0,30.4644833,32.0213097,32.3981374,40.1172084,38.7620396,39.3981374,43.9202194,45.3201866,45.4482384,46.0073814,46.4465675,46.8108177,50.6774726,52.2885681,53.5312305,53.3573914,53.8169546,54.3703178,55.7859045,55.1525506,57.0855844,56.8701134,58.174057,58.9818522,57.4867986,60.9739197,59.8580396,59.5634692,62.3474998,62.3642235,62.4619598,67.347435,76.0089417,76.3417511,82.5708771,83.0195832,83.3103132,83.6622841,99.9225867,109.372023,109.571562
4.8894062,0,29.9258213,31.8771048,32.3981374,40.5899756,38.5677148,39.3981374,42.9626389,44.8567772,45.0109673,45.7032661,46.293129,46.80093,50.3882386,51.9701153,53.5971257,53.3573914,53.475766,54.7088475,56.0470396,55.0343795,57.0488347,56.7899437,58.2554924,59.2073504,57.3582631,61.0531478,60.2413038,59.9713434,63.2504598,62.5664983,62.6621257,67.1911469,76.0880432,76.516777,82.4937897,83.0991932,83.4968661,83.9569884,99.968709,109.471861,109.73834
5.58789301,0,29.3612022,31.7059162,32.3981374,41.0764622,38.3630512,39.3981374,41.9283943,44.3588982,44.5366898,45.3554802,46.1085167,46.7892303,50.1579022,51.6479476,53.6752584,53.3573914,53.0995553,55.0846997,56.3054971,54.8973062,57.0233574,56.7181816,58.3285169,59.3526834,57.2088265,61.1211467,60.6228719,60.412156,64.2646461,62.8059173,62.8795308,67.0224304,76.1807175,76.7069016,82.4076309,83.1903644,83.7121607,84.2868498,100.022263,109.588362,109.928804
6.28637934,0,28.7767334,31.5062584,32.3981374,41.5696321,38.1536962,39.3981374,40.8364144,43.8330193,44.0316734,44.9680748,45.8903275,46.7755699,49.9730384,51.3304761,53.7665565,53.3573914,52.6945099,55.4937125,56.5538661,54.7421339,57.0055111,56.6516533,58.3923586,59.3860861,57.0382165,61.2761153,60.9990559,60.8811607,65.3162841,63.0834272,63.1110291,66.8448257,76.2873993,76.9089813,82.3135605,83.2927986,83.9557637,84.6487206,100.08339,109.722086,110.142197
