delta/B,4T1g,4T2g,4A2g,4T1g,2T2g,2Eg,2T1g,2A1g,2T1g,2T1g,2Eg,2T2g,2T1g,2Eg,2T2g,2T1g,2T2g,2A2g,2T2g,2Eg
0,0,0,0,15,17.89,17.89,17.89,17.89,22.89,22.89,22.89,22.89,22.89,25.38,25.38,37.8894523,37.8894523,37.8894523,60.92,60.92
0.60851927,0,0.490670385,1.09918966,15.3728215,18.1311187,18.1586237,18.2705892,18.3801227,23.0135872,23.1291876,23.1968256,23.308355,23.6711542,25.748217,25.8226339,38.2075761,38.273717,38.3801227,61.2755406,61.3275751
1.21703854,0,0.988682556,2.2057211,15.7603256,18.3512769,18.2021704,18.5668448,18.8781349,23.13843,23.4211308,23.6515355,23.6818895,24.4938671,26.2099483,26.3436765,38.5533621,38.6550375,38.8781349,61.6610233,61.7511156
1.82555781,0,1.4935071,3.31906491,16.1614574,18.5493905,18.0557028,18.7890365,19.3829594,23.2605294,23.7629097,24.2364949,24.027503,25.3500091,26.7444148,26.9235801,38.9267576,39.032498,39.3829594,62.0755396,62.1889381
2.43407708,0,2.00465112,4.43872819,16.5752262,18.7255365,17.7728114,18.9504939,19.8941034,23.3783682,24.1479533,24.9040385,24.3614249,26.2318337,27.3445872,27.544574,39.3277921,39.4053276,39.8941034,62.5188489,62.6401704
3.04259635,0,2.52165314,5.56424949,17.0007099,18.8803986,17.3989412,19.0644189,20.4111055,23.4912617,24.5684615,25.6075943,24.6952708,27.1321957,28.0105507,28.1929777,39.7565923,39.7729057,40.4111055,62.9906471,63.1040081
3.65111562,0,3.04408316,6.69519878,17.4370507,19.0151805,16.9651521,19.142288,20.9335355,23.5989138,25.017144,26.3133235,25.0360862,28.0448286,28.7441014,28.8592363,40.2133874,40.1347657,40.9335355,63.4905619,63.5797181
4.25963489,0,3.57154462,7.83117951,17.8834533,19.1314635,16.4912099,19.1933043,21.460997,23.7012353,25.4879442,27.001645,25.3875314,28.9643408,29.5441339,29.5368753,40.6985243,40.4905933,41.460997,64.0181552,64.0666329
4.86815416,0,4.10366937,8.97182353,18.3391846,19.2310538,15.9895872,19.2245101,21.9931217,23.7982606,25.9761318,27.6652515,25.7510497,29.8860933,30.4046207,30.2214777,41.2124584,40.8402252,41.9931217,64.5729178,64.564144
5.47667343,0,4.64011968,10.1167931,18.8035659,19.3158357,15.4683012,19.2411572,22.529572,23.8901024,26.4781247,28.3049452,26.1267282,30.8060548,31.3159351,30.9099665,41.7557465,41.1836481,42.529572,65.1542769,65.0717018
6.0851927,0,5.18058114,11.2657738,19.2759706,19.3876572,14.932644,19.2471187,23.0700335,23.9769189,26.9912353,28.9251501,26.5138702,31.7206836,32.2676075,31.6001268,42.3290203,41.5209939,43.0700335,65.7615984,65.5888103
6.69371197,0,5.72476775,12.4184797,19.7558245,19.4482576,14.3862079,19.2452424,23.6142201,24.0589037,27.5134442,29.5308813,26.9113661,32.6268489,33.2503276,32.2903114,42.9329523,41.8525314,43.6142201,66.3941937,66.1150233
7.30223124,0,6.27241379,13.574645,20.2425974,19.499214,13.8314959,19.2376247,24.1618661,24.1362698,28.0432211,30.1264158,27.3179158,33.521787,34.2566521,32.9792505,43.5681988,42.1786673,44.1618661,67.0513235,66.6499402
7.91075051,0,6.82327586,14.7340264,20.7358022,19.541932,13.2703002,19.2258185,24.7127282,24.2092424,28.5793935,30.7150112,27.7321613,34.4030974,35.2809158,33.6659219,44.2353408,42.4999341,44.7127282,67.732212,67.1932059
8.51926978,0,7.37712982,15.8963996,21.2349899,19.5776349,12.703929,19.2109777,25.2665822,24.2780527,29.1210426,31.2990183,28.1527637,35.2687637,36.3188783,34.3494716,44.9348053,42.8169909,45.2665822,68.4360507,67.7445041
